X Y
Точки Y, D, O и F задают четырехугольник. YD = 23 см, YO = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": YDOF}]
Как называется трапеция MVUY, у которой все стороны имеют одинаковую длину?	[{"type": "trapezoid", "name": "MVUY"}]
Найдите площадь треугольника SDJ со сторонами длиной 5, 6 и 7 единиц	[{"type": "triangle", "name": "SDJ"}]
Найдите периметр равнобедренного треугольника WZB с основанием 34 см и равными сторонами 32 см, а также тупоугольного треугольника HFM со сторонами 38 см, 40 см и 46 см	[{"type": "triangle", "name": "WZB"}, {"type": "triangle", "name": "HFM"}]
Найдите периметр четырехугольника YQCR со сторонами длиной 10 см, 12 см, 14 см и 16 см.	[{"type": "quadrilateral", "name": "YQCR"}]
Точки X, G, L и R задают четырехугольник. XG = 4 см, XL = 9 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": XGLR}]
Последовательность точек W, A, T и G задаёт четырехугольник, при этом расстояние от W до A равно 18 см, а расстояние между W и T составляет 10 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": WATG}]
Точки P, X, D и F задают прямоугольник. PX = 24 см, PD = 17 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": PXDF}]
Найти периметр квадрата, основания которого PS = 7 см, HF = 18 см, а высота равна 19 см.	[{"type": "square", "name": PSHF}]
В прямоугольном треугольнике TXL, если катеты одинаковой длины, а гипотенуза равна 13 см, найдите длину каждого катета.	[{"type": "triangle", "name": "TXL"}]
Найдите площадь четырехугольника AIVR с вершинами в точках (0, 0), (2, 0), (2, 4) и (0, 4).	[{"type": "quadrilateral", "name": "AIVR"}]
Последовательность точек P, R, Q и N задаёт трапеция, при этом расстояние от P до R равно 19 см, а расстояние между P и Q составляет 16 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": PRQN}]
Последовательность точек Y, K, T и I задаёт четырехугольник, при этом расстояние от Y до K равно 7 см, а расстояние между Y и T составляет 17 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": YKTI}]
Найдите длину диагонали квадрата KCSH со стороной 15 см.	[{"type": "square", "name": "KCSH"}]
Какова площадь квадрата PYTB со стороной 20 см?	[{"type": "square", "name": "PYTB"}]
Найдите сумму внутренних углов разностороннего треугольника TFQ со сторонами 80 см, 82 см и 98 см, а также равнобедренного треугольника HBJ с основанием 70 см и равными сторонами 68 см	[{"type": "triangle", "name": "TFQ"}, {"type": "triangle", "name": "HBJ"}]
